Date,ZLFund BMF
11/3/2017,120.12
11/4/2017,120.20
11/5/2017,120.28
11/6/2017,120.36
11/7/2017,120.44
11/8/2017,120.53
11/9/2017,120.62
11/10/2017,120.68
11/11/2017,120.17
11/12/2017,120.23
11/13/2017,120.32
11/14/2017,120.40
11/15/2017,120.49
11/16/2017,120.57
11/17/2017,120.65
11/18/2017,120.74
11/19/2017,120.81
11/20/2017,120.89
11/21/2017,120.97
11/22/2017,121.05
11/23/2017,121.13
11/24/2017,121.21
11/25/2017,121.29
11/26/2017,121.37
11/27/2017,121.46
11/28/2017,121.54
11/29/2017,121.62
11/30/2017,121.70
12/1/2017,121.78
12/2/2017,121.87
12/3/2017,121.95
12/4/2017,122.03
12/5/2017,122.12
12/6/2017,122.20
12/7/2017,122.28
12/8/2017,122.36
12/9/2017,122.45
12/10/2017,122.51
12/11/2017,122.60
12/12/2017,122.68
12/13/2017,122.76
12/14/2017,122.85
12/15/2017,122.94
12/16/2017,123.06
12/17/2017,123.26
12/18/2017,123.56
12/19/2017,123.88
12/20/2017,124.18
12/21/2017,124.51
12/22/2017,124.82
12/23/2017,125.07
12/24/2017,125.29
12/25/2017,125.50
12/26/2017,125.70
12/27/2017,125.87
12/28/2017,126.03
12/29/2017,126.17
12/30/2017,126.30
12/31/2017,126.43
1/1/2018,126.56
1/2/2018,126.69
1/3/2018,126.78
1/4/2018,126.85
1/5/2018,126.92
1/6/2018,127.01
1/7/2018,127.10
1/8/2018,127.18
1/9/2018,127.27
1/10/2018,127.35
1/11/2018,127.43
1/12/2018,127.51
1/13/2018,127.59
1/14/2018,127.67
1/15/2018,127.74
1/16/2018,127.82
1/17/2018,127.89
1/18/2018,127.96
1/19/2018,128.02
1/20/2018,128.08
1/21/2018,128.13
1/22/2018,128.19
1/23/2018,128.24
1/24/2018,128.28
1/25/2018,128.33
1/26/2018,128.37
1/27/2018,128.41
1/28/2018,128.45
1/29/2018,128.49
1/30/2018,128.53
1/31/2018,128.57
2/1/2018,128.60
2/2/2018,128.63
2/3/2018,128.67
2/4/2018,128.70
2/5/2018,128.72
2/6/2018,128.75
2/7/2018,128.77
2/8/2018,128.79
2/9/2018,128.81
2/10/2018,128.84
2/11/2018,128.86
2/12/2018,128.87
2/13/2018,128.90
2/14/2018,128.94
2/15/2018,128.97
2/16/2018,129.01
2/17/2018,129.04
2/18/2018,129.07
2/19/2018,129.10
2/20/2018,129.14
2/21/2018,129.16
2/22/2018,129.19
2/23/2018,129.22
2/24/2018,129.24
2/25/2018,129.26
2/26/2018,129.28
2/27/2018,129.30
2/28/2018,129.33
3/1/2018,129.35
3/2/2018,129.37
3/3/2018,129.39
3/4/2018,129.41
3/5/2018,129.43
3/6/2018,129.46
3/7/2018,129.48
3/8/2018,129.50
3/9/2018,129.52
3/10/2018,129.53
3/11/2018,129.55
3/12/2018,129.57
3/13/2018,129.59
3/14/2018,129.61
3/15/2018,129.62
3/16/2018,129.64
3/17/2018,129.66
3/18/2018,129.67
3/19/2018,129.69
3/20/2018,129.70
3/21/2018,129.72
3/22/2018,129.73
3/23/2018,129.75
3/24/2018,129.76
3/25/2018,129.78
3/26/2018,129.79
3/27/2018,129.81
3/28/2018,129.82
3/29/2018,129.83
3/30/2018,129.84
3/31/2018,129.85
4/1/2018,129.86
4/2/2018,129.87
4/3/2018,129.88
4/4/2018,129.89
4/5/2018,129.89
4/6/2018,129.90
4/7/2018,129.91
4/8/2018,129.92
4/9/2018,129.93
4/10/2018,129.94
4/11/2018,129.94
