Date,Price
2017-11-04,120.20
2017-11-05,120.28
2017-11-06,120.36
2017-11-07,120.44
2017-11-08,120.53
2017-11-09,120.62
2017-11-10,120.68
2017-11-11,120.17
2017-11-12,120.23
2017-11-13,120.32
2017-11-14,120.40
2017-11-15,120.49
2017-11-16,120.57
2017-11-17,120.65
2017-11-18,120.74
2017-11-19,120.81
2017-11-20,120.89
2017-11-21,120.97
2017-11-22,121.05
2017-11-23,121.13
2017-11-24,121.21
2017-11-25,121.29
2017-11-26,121.37
2017-11-27,121.46
2017-11-28,121.54
2017-11-29,121.62
2017-11-30,121.70
2017-12-01,121.78
2017-12-02,121.87
2017-12-03,121.95
2017-12-04,122.03
2017-12-05,122.12
2017-12-06,122.20
2017-12-07,122.28
2017-12-08,122.36
2017-12-09,122.45
2017-12-10,122.51
2017-12-11,122.60
2017-12-12,122.68
2017-12-13,122.76
2017-12-14,122.85
2017-12-15,122.94
2017-12-16,123.06
2017-12-17,123.26
2017-12-18,123.56
2017-12-19,123.88
2017-12-20,124.18
2017-12-21,124.51
2017-12-22,124.82
2017-12-23,125.07
2017-12-24,125.29
2017-12-25,125.50
2017-12-26,125.70
2017-12-27,125.87
2017-12-28,126.03
2017-12-29,126.17
2017-12-30,126.30
2017-12-31,126.43
2018-01-01,126.56
2018-01-02,126.69
2018-01-03,126.78
2018-01-04,126.85
2018-01-05,126.92
2018-01-06,127.01
2018-01-07,127.10
2018-01-08,127.18
2018-01-09,127.27
2018-01-10,127.35
2018-01-11,127.43
2018-01-12,127.51
2018-01-13,127.59
2018-01-14,127.67
2018-01-15,127.74
2018-01-16,127.82
2018-01-17,127.89
2018-01-18,127.96
2018-01-19,128.02
2018-01-20,128.08
2018-01-21,128.13
2018-01-22,128.19
2018-01-23,128.24
2018-01-24,128.28
2018-01-25,128.33
2018-01-26,128.37
2018-01-27,128.41
2018-01-28,128.45
2018-01-29,128.49
2018-01-30,128.53
2018-01-31,128.57
2018-02-01,128.60
2018-02-02,128.63
2018-02-03,128.67
2018-02-04,128.70
2018-02-05,128.72
2018-02-06,128.75
2018-02-07,128.77
2018-02-08,128.79
2018-02-09,128.81
2018-02-10,128.84
2018-02-11,128.86
2018-02-12,128.87
2018-02-13,128.90
2018-02-14,128.94
2018-02-15,128.97
2018-02-16,129.01
2018-02-17,129.04
2018-02-18,129.07
2018-02-19,129.10
2018-02-20,129.14
2018-02-21,129.16
2018-02-22,129.19
2018-02-23,129.22
2018-02-24,129.24
2018-02-25,129.26
2018-02-26,129.28
2018-02-27,129.30
2018-02-28,129.33
2018-03-01,129.35
2018-03-02,129.37
2018-03-03,129.39
2018-03-04,129.41
2018-03-05,129.43
2018-03-06,129.46
2018-03-07,129.48
2018-03-08,129.50
2018-03-09,129.52
2018-03-10,129.53
2018-03-11,129.55
2018-03-12,129.57
2018-03-13,129.59
2018-03-14,129.61
2018-03-15,129.62
2018-03-16,129.64
2018-03-17,129.66
2018-03-18,129.67
2018-03-19,129.69
2018-03-20,129.70
2018-03-21,129.72
2018-03-22,129.73
2018-03-23,129.75
2018-03-24,129.76
2018-03-25,129.78
2018-03-26,129.79
2018-03-27,129.81
2018-03-28,129.82
2018-03-29,129.83
2018-03-30,129.84
2018-03-31,129.85
2018-04-01,129.86
2018-04-02,129.87
2018-04-03,129.88
2018-04-04,129.89
2018-04-05,129.89
2018-04-06,129.90
2018-04-07,129.91
2018-04-08,129.92
2018-04-09,129.93
2018-04-10,129.94
2018-04-11,129.94
2018-04-12,129.94
2018-04-13,129.94
2018-04-14,129.95
2018-04-15,129.95
2018-04-16,129.96
2018-04-17,129.97
2018-04-18,129.98
2018-04-19,129.99
2018-04-20,130.00
2018-04-21,130.01
2018-04-22,130.02
2018-04-23,130.03
2018-04-24,130.04
2018-04-25,130.07
2018-04-26,130.12
2018-04-27,130.20
2018-04-28,130.29
2018-04-29,130.43
2018-04-30,130.59
2018-05-01,130.74
2018-05-02,130.86
2018-05-03,130.97
2018-05-04,131.07
2018-05-05,131.17
2018-05-06,131.27
2018-05-07,131.38
2018-05-08,131.50
2018-05-09,131.61
2018-05-10,131.72
2018-05-11,131.81
2018-05-12,131.88
2018-05-13,131.95
2018-05-14,132.01
2018-05-15,132.07
2018-05-16,132.13
2018-05-17,132.19
2018-05-18,132.24
2018-05-19,132.29
2018-05-20,132.34
2018-05-21,132.40
2018-05-22,132.45
2018-05-23,132.51
2018-05-24,132.58
2018-05-25,132.64
2018-05-26,132.71
2018-05-27,132.77
2018-05-28,132.83
2018-05-29,132.88
2018-05-30,132.93
2018-05-31,132.98
2018-06-01,133.02
2018-06-02,133.07
2018-06-03,133.11
2018-06-04,133.17
2018-06-05,133.22
2018-06-06,133.29
2018-06-07,133.38
2018-06-08,133.46
2018-06-09,133.55
2018-06-10,133.63
2018-06-11,133.69
2018-06-12,133.75
2018-06-13,133.80
2018-06-14,133.84
2018-06-15,133.88
2018-06-16,133.92
2018-06-17,133.96
2018-06-18,133.99
2018-06-19,134.02
2018-06-20,134.06
2018-06-21,134.10
2018-06-22,134.15
2018-06-23,134.19
2018-06-24,134.23
2018-06-25,134.27
2018-06-26,134.30
2018-06-27,134.34
2018-06-28,134.38
2018-06-29,134.42
2018-06-30,134.46
2018-07-01,134.50
2018-07-02,134.53
2018-07-03,134.57
2018-07-04,134.60
2018-07-05,134.64
2018-07-06,134.66
2018-07-07,134.69
2018-07-08,134.71
2018-07-09,134.73
2018-07-10,134.75
2018-07-11,134.77
2018-07-12,134.79
2018-07-13,134.81
2018-07-14,134.83
2018-07-15,134.86
2018-07-16,134.88
2018-07-17,134.90
2018-07-18,134.92
2018-07-19,134.94
2018-07-20,134.96
2018-07-21,134.97
2018-07-22,134.99
2018-07-23,135.00
2018-07-24,135.02
2018-07-25,135.04
2018-07-26,135.05
2018-07-27,135.07
2018-07-28,135.08
2018-07-29,135.10
2018-07-30,135.11
2018-07-31,135.13
2018-08-01,135.14
2018-08-02,135.16
2018-08-03,135.18
2018-08-04,135.20
2018-08-05,135.22
2018-08-06,135.24
2018-08-07,135.26
2018-08-08,135.27
2018-08-09,135.29
2018-08-10,135.30
2018-08-11,135.32
2018-08-12,135.33
2018-08-13,135.34
2018-08-14,135.35
2018-08-15,135.36
2018-08-16,135.37
2018-08-17,135.38
2018-08-18,135.39
2018-08-19,135.40
2018-08-20,135.41
2018-08-21,135.42
2018-08-22,135.43
2018-08-23,135.44
2018-08-24,135.45
2018-08-25,135.45
2018-08-26,135.46
2018-08-27,135.47
2018-08-28,135.48
2018-08-29,135.49
2018-08-30,135.49
2018-08-31,135.50
2018-09-01,135.51
2018-09-02,135.52
2018-09-03,135.53
2018-09-04,135.53
2018-09-05,135.54
2018-09-06,135.55
2018-09-07,135.56
2018-09-08,135.57
2018-09-09,135.58
2018-09-10,135.59
2018-09-11,135.60
2018-09-12,135.61
2018-09-13,135.62
2018-09-14,135.63
2018-09-15,135.64
2018-09-16,135.64
2018-09-17,135.65
2018-09-18,135.66
2018-09-19,135.67
2018-09-20,135.68
2018-09-21,135.69
2018-09-22,135.71
2018-09-23,135.73
2018-09-24,135.77
2018-09-25,135.80
2018-09-26,135.82
2018-09-27,135.84
2018-09-28,135.86
2018-09-29,135.88
2018-09-30,135.90
2018-10-01,135.93
2018-10-02,135.95
2018-10-03,135.97
2018-10-04,135.99
2018-10-05,136.01
2018-10-06,136.03
2018-10-07,136.05
2018-10-08,136.07
2018-10-09,136.09
2018-10-10,136.11
2018-10-11,136.13
2018-10-12,136.15
2018-10-13,136.17
2018-10-14,136.19
2018-10-15,136.21
2018-10-16,136.23
2018-10-17,136.26
2018-10-18,136.28
2018-10-19,136.30
2018-10-20,136.32
2018-10-21,136.33
2018-10-22,136.35
2018-10-23,136.37
2018-10-24,136.39
2018-10-25,136.40
2018-10-26,136.42
2018-10-27,136.44
2018-10-28,136.45
2018-10-29,136.47
2018-10-30,136.48
2018-10-31,136.49
2018-11-01,136.51
2018-11-02,136.52
2018-11-03,136.54
2018-11-04,136.55
2018-11-05,136.57
2018-11-06,136.58
2018-11-07,136.58
2018-11-08,136.58
2018-11-09,136.58
